ticker,composite_score,momentum_score,sentiment_score,volume_score,volatility_score,price,volume,sector,rank
ADBE,-0.10678208939593839,0.06267582834704576,-0.1576897462131038,-0.022727484354127706,-0.8,"Ticker
ADBE    262.670013
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ADBE    2804190
Name: 2026-06-02 00:00:00, dtype: int64",Information Technology,1
GOOGL,-0.11007445161252358,0.03207897447880855,-0.15779905517115736,0.007291086993217835,-0.7702454225134336,"Ticker
GOOGL    367.195007
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
GOOGL    26015963
Name: 2026-06-02 00:00:00, dtype: int64",Communication Services,2
AMD,-0.11382709409300037,0.08640987067502297,-0.1577635188819423,-0.1053099334921343,-0.8,"Ticker
AMD    513.23999
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
AMD    13052378
Name: 2026-06-02 00:00:00, dtype: int64",Information Technology,3
GOOG,-0.11648486405749793,0.03260389515304747,-0.15778020818247937,-0.026720228414589365,-0.7684831398105523,"Ticker
GOOG    363.799988
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
GOOG    17399949
Name: 2026-06-02 00:00:00, dtype: int64",Communication Services,4
AKAM,-0.13389958987553613,0.017573916266337038,-0.15795665581240798,-0.06771079819174264,-0.8,"Ticker
AKAM    162.020004
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
AKAM    2037483
Name: 2026-06-02 00:00:00, dtype: int64",Information Technology,5
AES,-0.1350546625612826,-0.01651471076596399,-0.15775789816393995,-0.12974601772812078,-0.5517220526009086,"Ticker
AES    14.705
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
AES    4535205
Name: 2026-06-02 00:00:00, dtype: int64",Utilities,6
ACN,-0.14149629249895912,0.04603960688674276,-0.15768045980944784,-0.16303998655410928,-0.8,"Ticker
ACN    185.259903
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ACN    2323583
Name: 2026-06-02 00:00:00, dtype: int64",Information Technology,7
ABT,-0.14307771166135033,0.07686765582188959,-0.15777964789881851,-0.2652298124304936,-0.7344491713436189,"Ticker
ABT    86.394997
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ABT    2927886
Name: 2026-06-02 00:00:00, dtype: int64",Health Care,8
ARE,-0.1457211674366536,0.009694709970861599,-0.15773307878985549,-0.11139563894020774,-0.8,"Ticker
ARE    50.865002
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ARE    1139170
Name: 2026-06-02 00:00:00, dtype: int64",Real Estate,9
A,-0.15428948033733875,0.05678101586936399,-0.15760559637560992,-0.24860103886200674,-0.8,"Ticker
A    134.839996
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
A    882125
Name: 2026-06-02 00:00:00, dtype: int64",Health Care,10
AOS,-0.15698673728724916,0.06370290629603295,-0.1578174551249995,-0.28857726522865035,-0.7740721022243242,"Ticker
AOS    56.470001
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
AOS    399108
Name: 2026-06-02 00:00:00, dtype: int64",Industrials,11
ALGN,-0.16537634489081826,0.05036152672727209,-0.15789458949580343,-0.2907628936649302,-0.8,"Ticker
ALGN    166.399994
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ALGN    295427
Name: 2026-06-02 00:00:00, dtype: int64",Health Care,12
MMM,-0.1675514106832161,0.024604146437269544,-0.15744769771113545,-0.28201163067902857,-0.7375643380897758,"Ticker
MMM    151.419998
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
MMM    838334
Name: 2026-06-02 00:00:00, dtype: int64",Industrials,13
ABBV,-0.16861271584206192,0.025298703048176097,-0.15787157614245564,-0.2850366851822831,-0.7436338718213904,"Ticker
ABBV    212.410004
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ABBV    1680701
Name: 2026-06-02 00:00:00, dtype: int64",Health Care,14
AFL,-0.18069284952960218,-0.022868084283172482,-0.15768244464411885,-0.2782206828541145,-0.6859674585227462,"Ticker
AFL    113.629997
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
AFL    632539
Name: 2026-06-02 00:00:00, dtype: int64",Financials,15
LNT,-0.1842259591320629,-0.0032590657508096083,-0.1578147967578426,-0.3359831045009859,-0.6838127290418912,"Ticker
LNT    70.82
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
LNT    557823
Name: 2026-06-02 00:00:00, dtype: int64",Utilities,16
ABNB,-0.1844149699948887,0.006699618045556847,-0.1578132827998653,-0.29875416186575915,-0.8,"Ticker
ABNB    134.529999
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ABNB    1234557
Name: 2026-06-02 00:00:00, dtype: int64",Consumer Discretionary,17
APD,-0.19229619449169402,-0.029936914304684273,-0.1576502998591914,-0.3103114456718893,-0.7096404967768501,"Ticker
APD    279.410004
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
APD    334828
Name: 2026-06-02 00:00:00, dtype: int64",Materials,18
ALL,-0.202986279656457,-0.05114768854659962,-0.15728706915393026,-0.3094375699999107,-0.7345356949165595,"Ticker
ALL    210.854996
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ALL    430606
Name: 2026-06-02 00:00:00, dtype: int64",Financials,19
ALB,-0.20986010029507765,-0.04633746110206103,-0.1578326423884883,-0.31987661568853365,-0.8,"Ticker
ALB    173.179993
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ALB    1196492
Name: 2026-06-02 00:00:00, dtype: int64",Materials,20
