ticker,composite_score,momentum_score,sentiment_score,volume_score,volatility_score,price,volume,sector,rank
ADBE,-0.10678208939593839,0.06267582834704576,-0.1576897462131038,-0.022727484354127706,-0.8,"Ticker
ADBE    262.670013
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ADBE    2804190
Name: 2026-06-02 00:00:00, dtype: int64",Information Technology,1
GOOGL,-0.11007445161252358,0.03207897447880855,-0.15779905517115736,0.007291086993217835,-0.7702454225134336,"Ticker
GOOGL    367.195007
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
GOOGL    26015963
Name: 2026-06-02 00:00:00, dtype: int64",Communication Services,2
AMD,-0.11382709409300037,0.08640987067502297,-0.1577635188819423,-0.1053099334921343,-0.8,"Ticker
AMD    513.23999
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
AMD    13052378
Name: 2026-06-02 00:00:00, dtype: int64",Information Technology,3
GOOG,-0.11648486405749793,0.03260389515304747,-0.15778020818247937,-0.026720228414589365,-0.7684831398105523,"Ticker
GOOG    363.799988
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
GOOG    17399949
Name: 2026-06-02 00:00:00, dtype: int64",Communication Services,4
AKAM,-0.13389958987553613,0.017573916266337038,-0.15795665581240798,-0.06771079819174264,-0.8,"Ticker
AKAM    162.020004
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
AKAM    2037483
Name: 2026-06-02 00:00:00, dtype: int64",Information Technology,5
AES,-0.1350546625612826,-0.01651471076596399,-0.15775789816393995,-0.12974601772812078,-0.5517220526009086,"Ticker
AES    14.705
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
AES    4535205
Name: 2026-06-02 00:00:00, dtype: int64",Utilities,6
ACN,-0.14149629249895912,0.04603960688674276,-0.15768045980944784,-0.16303998655410928,-0.8,"Ticker
ACN    185.259903
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ACN    2323583
Name: 2026-06-02 00:00:00, dtype: int64",Information Technology,7
ABT,-0.14307771166135033,0.07686765582188959,-0.15777964789881851,-0.2652298124304936,-0.7344491713436189,"Ticker
ABT    86.394997
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ABT    2927886
Name: 2026-06-02 00:00:00, dtype: int64",Health Care,8
ARE,-0.1457211674366536,0.009694709970861599,-0.15773307878985549,-0.11139563894020774,-0.8,"Ticker
ARE    50.865002
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
ARE    1139170
Name: 2026-06-02 00:00:00, dtype: int64",Real Estate,9
A,-0.15428948033733875,0.05678101586936399,-0.15760559637560992,-0.24860103886200674,-0.8,"Ticker
A    134.839996
Name: 2026-06-02 00:00:00, dtype: float64","Ticker
A    882125
Name: 2026-06-02 00:00:00, dtype: int64",Health Care,10
